Question	Prédit	Réel		
What is the scientific name for elephant ?	ENTITY	ENTITY	0	What
Who is the actress known for her role in the movie `` Gypsy '' ?	PERSON	PERSON	0	Who 
What breed of hunting dog did the Beverly Hillbillies own ?	ENTITY	ENTITY	0	What
What is the rainiest place on Earth ?	LOCATION	LOCATION	0	What
Who was the first African American to win the Nobel Prize in literature ?	PERSON	PERSON	0	Who 
When is St. Patrick 's Day ?	TEMPORAL	TEMPORAL	0	When
What was FDR 's dog 's name ?	ENTITY	ENTITY	0	What
What colors need to be mixed to get the color pink ?	ENTITY	ENTITY	0	What
What is the most popular sport in Japan ?	ENTITY	ENTITY	0	What
What is the active ingredient in baking soda ?	ENTITY	ENTITY	0	What
When was Thomas Jefferson born ?	TEMPORAL	TEMPORAL	0	When
How cold should a refrigerator be ?	QUANTITY	QUANTITY	0	How 
What is the population of Venezuela ?	LOCATION	QUANTITY	1	What
What is the most common eye color ?	ENTITY	ENTITY	0	What
Where was the first golf course in the United States ?	LOCATION	LOCATION	0	Wher
What is Susan B. Anthony 's birthday ?	DEFINITION	TEMPORAL	1	What
During which season do most thunderstorms occur ?	ENTITY	TEMPORAL	1	Duri
What year did the Milwaukee Braves become the Atlanta Braves ?	ENTITY	TEMPORAL	1	What
What year did the NFL go on strike ?	ENTITY	TEMPORAL	1	What
What is the National Park in Utah ?	LOCATION	LOCATION	0	What
What year did Mussolini seize power in Italy ?	ENTITY	TEMPORAL	1	What
In which state would you find the Catskill Mountains ?	LOCATION	LOCATION	0	In w
What do you call a word that is spelled the same backwards and forwards ?	ENTITY	ENTITY	0	What
What year did the Titanic start on its journey ?	ENTITY	TEMPORAL	1	What
When is hurricane season in the Caribbean ?	LOCATION	TEMPORAL	1	When
When is the summer solstice ?	LOCATION	TEMPORAL	1	When
What year did the United States abolish the draft ?	LOCATION	TEMPORAL	1	What
What year did the U.S. buy Alaska ?	LOCATION	TEMPORAL	1	What
What is the date of Mexico 's independence ?	LOCATION	TEMPORAL	1	What
What currency does Luxembourg use ?	ENTITY	ENTITY	0	What
When did John F. Kennedy get elected as President ?	PERSON	TEMPORAL	1	When
What type of polymer is used for bulletproof vests ?	ENTITY	ENTITY	0	What
What currency does Argentina use ?	ENTITY	ENTITY	0	What
Mercury , what year was it discovered ?	PERSON	TEMPORAL	1	Merc
What Canadian city has the largest population ?	LOCATION	LOCATION	0	What
What color are crickets ?	ENTITY	ENTITY	0	What
Which country gave New York the Statue of Liberty ?	LOCATION	LOCATION	0	Whic
What was the last year that the Chicago Cubs won the World Series ?	PERSON	TEMPORAL	1	What
What precious stone is a form of pure carbon ?	ENTITY	ENTITY	0	What
What kind of gas is in a fluorescent bulb ?	ENTITY	ENTITY	0	What
When was the first stamp issued ?	PERSON	TEMPORAL	1	When
What river runs through Rowe , Italy ?	LOCATION	LOCATION	0	What
When was the first Wal-Mart store opened ?	PERSON	TEMPORAL	1	When
What year was the Mona Lisa painted ?	PERSON	TEMPORAL	1	What
 How far away is the moon ?	QUANTITY	QUANTITY	0	 How
What is the source of natural gas ?	ENTITY	ENTITY	0	What
When was President Kennedy shot ?	PERSON	TEMPORAL	1	When
When was the Boston tea party ?	PERSON	TEMPORAL	1	When
When was the first kidney transplant ?	PERSON	TEMPORAL	1	When
What 's the easiest way to remove wallpaper ?	ENTITY	ENTITY	0	What
When is the official first day of summer ?	PERSON	TEMPORAL	1	When
How much of an apple is water ?	QUANTITY	QUANTITY	0	How 
Who was the 22nd President of the US ?	PERSON	PERSON	0	Who 
What is the money they use in Zambia ?	ENTITY	ENTITY	0	What
How many feet in a mile ?	QUANTITY	QUANTITY	0	How 
What is the birthstone of October ?	ENTITY	ENTITY	0	What
When was the telephone invented ?	PERSON	TEMPORAL	1	When
				
